locus_tag	acronym	geneProduct	genePublication
MtrunA17Chr2g0280941	MtCycD6-2	Cyclin D type	PMID:33228084
MtrunA17Chr2g0281051	MtJMJ13	Histone demethylase JmjC domain-containing	PMID:35161303
MtrunA17Chr2g0281071	MtMYB053	Myeloblastosis (MYB) transcription factor 53	PMID:31188936
MtrunA17Chr2g0281551	MtKECH1	Kelch repeat protein 1	PMID:27249190
MtrunA17Chr2g0282031	MtPMT4_3|MtPLT4.3 	Probable polyol transporter |polyol/monosaccharide transporter	PMID:32016431|PMID:31568488
MtrunA17Chr2g0282441	MtDASH 	DOF Acting in Seed embryogenesis and Hormone	PMID:25492260
MtrunA17Chr2g0282521	MtSPL4	SQUAMOSA Promoter Binding Protein-Like	PMID:31277566
MtrunA17Chr2g0282961	MtARF5	auxin response factor 5	PMID:25759704
MtrunA17Chr2g0283141	MtWOX9b	wuschel-related homeobox protein 9b	PMID:33299183|PMID:33631796
MtrunA17Chr2g0283371	MtCLE29	CLAVATA3/EMBRYO-SURROUNDING REGION (CLE) family	PMID:29030416|PMID:28839170
MtrunA17Chr2g0283451	MtTAX2	Taximin 2	PMID:29030416
MtrunA17Chr2g0283471	MtPDC	pyruvate decarboxylase	PMID:32003030
MtrunA17Chr2g0283711	MtT5L1a|MtbHLH-656	TMO5-LIKE1a (bHLH transcription factor)	PMID:33299183|PMID:22419822
MtrunA17Chr2g0283801	MtLAT52/POE_21	Late Anther Tomato52/Pollen Ole e 1 Allergen and Extensin	PMID:29030416
MtrunA17Chr2g0283811	MtCDFe3	CYCLING DOF FACTOR	PMID:31608091
MtrunA17Chr2g0283871	MtGT-12/13	trihelix transcription factor (GT) 12/13	PMID:33238556
MtrunA17Chr2g0284281	MtAP2c	AP2 domain protein 2c	PMID:27249190
MtrunA17Chr2g0284361	MtCEP17	C-terminally encoded peptide	PMID:29030416
MtrunA17Chr2g0284461	MtPUB17	Plant U-box protein 17	PMID:28771553
MtrunA17Chr2g0284671	MtMGP	MAGPIE  (Zinc finger protein)	PMID:33299183
MtrunA17Chr2g0284701	MtNPF4.12	NRT1/ PTR FAMILY|nitrate transporter / peptide transporter	PMID:27375649
MtrunA17Chr2g0284911	MtAGa	AGAMOUS a	PMID:30108597
MtrunA17Chr2g0285141	MtS40	Putative senescence regulator S40	PMID:35781677
MtrunA17Chr2g0285191	MtABAB6	ATP-Binding-Cassette (ABC) transporter typeB (P-glycoprotein (MDR/PGP/ABCB) efflux/conditional auxin transporter)	PMID:26228273
MtrunA17Chr2g0285221	MtLCR9	Low-molecular weight Cys-rich	PMID:29030416
MtrunA17Chr2g0285301	MtABAB7	ATP-Binding-Cassette (ABC) transporter typeB (P-glycoprotein (MDR/PGP/ABCB) efflux/conditional auxin transporter)	PMID:26228273
MtrunA17Chr2g0285311	MtABAB8	ATP-Binding-Cassette (ABC) transporter typeB (P-glycoprotein (MDR/PGP/ABCB) efflux/conditional auxin transporter)	PMID:26228273
MtrunA17Chr2g0285461	MtARF6|MtARF19a	auxin response factor 6	PMID:25759704|PMID:33897748
MtrunA17Chr2g0285821	TIFY-4	TIFY domain protein 4	
MtrunA17Chr2g0285931	MtGA2ox|MtGA2OX2|MtGA2ox4	Gibberellin 2-beta-dioxygenase (gibberellin inactivation)	PMID:27586842|PMID:25527707|PMID:30976084
MtrunA17Chr2g0286011	MtIDA8	Inflorescence Deficient in Abscission	PMID:29030416
MtrunA17Chr2g0286091	MtCYP710A15	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr2g0286171	MtABP19	Auxin Binding Protein19	PMID:31748328
MtrunA17Chr2g0286331	MtMIEL1	MYB30-INTERACTING E3 LIGASE 1	PMID:34149774
MtrunA17Chr2g0286661	MtSPL7	SQUAMOSA Promoter Binding Protein-Like	PMID:31277566
MtrunA17Chr2g0286721	MtESL16_1|MtESL2.4 	early-responsive to dehydration six-like (Sugar transporter)	PMID:32016431|PMID:31568488
MtrunA17Chr2g0286781	MtHPT1	Histidine PhosphoTransfer protein 1	PMID:17028204
MtrunA17Chr2g0286991	MtMAX2b	MORE AXILLARY BRANCHING 2 (F-box protein)	PMID:31477892
MtrunA17Chr2g0287181	MtGS2b 	plastid glutamine synthetase	PMID:20723225
MtrunA17Chr2g0287211	MtGS2a 	plastid glutamine synthetase	PMID:20723225
MtrunA17Chr2g0287271	MtMAPK16	MAP kinase 	PMID:24317362
MtrunA17Chr2g0287361	MtRC1	Root Cap 1	PMID:29030416
MtrunA17Chr2g0287681	MtRTFL/DVL_4	Rotundifolia/Devil	PMID:29030416
MtrunA17Chr2g0287691	MtIPT1|MtIPT4	isopentenyl transferase 	PMID:25804975|PMID:26351356
MtrunA17Chr2g0288041	MtNCR540	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0288281	MtMATE6	multidrug and toxic compound extrusion family	PMID:28052433
MtrunA17Chr2g0288481	MtNF-YC10	nuclear factor Y subunit C10	PMID:22939172
MtrunA17Chr2g0288531	MtATG8a	Autophagy related gene	PMID:34824334
MtrunA17Chr2g0288661	MtCYP72A67v1	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr2g0288931	MtSTIG/GRI_5	Stigma1 / GRI	PMID:29030416
MtrunA17Chr2g0288941	MtSTIG/GRI_6	Stigma1 / GRI	PMID:29030416
MtrunA17Chr2g0288951	MtSTIG/GRI_7	Stigma1 / GRI	PMID:29030416
MtrunA17Chr2g0289041	MtJMJ14	Histone demethylase JmjC domain-containing	PMID:35161303
MtrunA17Chr2g0289091	MtJMJ15	Histone demethylase JmjC domain-containing	PMID:35161303
MtrunA17Chr2g0289121	MtJMJ16	Histone demethylase JmjC domain-containing	PMID:35161303
MtrunA17Chr2g0289131	MtLYK8	LysM domain-containing receptor-like kinase 8	PMID:12947035
MtrunA17Chr2g0289201	MtKNOX1	KNOX transcription factor	PMID:26351356
MtrunA17Chr2g0289441	MtTPD23	Tapetum Determinant 	PMID:29030416
MtrunA17Chr2g0289511	MtTPD21	Tapetum Determinant 	PMID:29030416
MtrunA17Chr2g0289551	MtTPD22	Tapetum Determinant 	PMID:29030416
MtrunA17Chr2g0289741	MtENODL5|MtPCY69	ENOD-like 5|Plantacyanin/Chemocyanin	PMID:30649463|PMID:29030416
MtrunA17Chr2g0290101	MtPhyCys5	Phytocystatin	PMID:29030416
MtrunA17Chr2g0290161	MtINT4_1|MtINT2.4 	inositol transporter	PMID:32016431|PMID:31568488
MtrunA17Chr2g0290181	MtINT4_2|MtINT2.5 	inositol transporter	PMID:32016431|PMID:31568488
MtrunA17Chr2g0290491	MtNF-YB13	nuclear factor Y subunit B13	PMID:22939172
MtrunA17Chr2g0290511	MtGT-14	trihelix transcription factor (GT) 14	PMID:33238556
MtrunA17Chr2g0290521	MtnsLTP72	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr2g0290541	MtnsLTP74	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr2g0290571	MtnsLTP76	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr2g0290791	MtNRPD4 	RNA Pol IV & V subunit	
MtrunA17Chr2g0290821	MtBG17	"beta-1,3-Glucanase 17"	PMID:30416059
MtrunA17Chr2g0291121	MtPhyCys6	Phytocystatin	PMID:29030416
MtrunA17Chr2g0291651	MtVAMP721d	vesicle-associated membrane protein 721d	PMID:22566631
MtrunA17Chr2g0291751	MtPrx71	peroxidase	PMID:27375649
MtrunA17Chr2g0292091	MtRip3|MtPrx111	peroxidase	PMID:27375649
MtrunA17Chr2g0292101	MtPrx30	peroxidase	PMID:27375649
MtrunA17Chr2g0292111	MtPrx17	peroxidase	PMID:27375649
MtrunA17Chr2g0292151	MtPrx16|MtPRX2|MtRip9	peroxidase	PMID:27375649|PMID:19571306
MtrunA17Chr2g0292181	MtPrx10	peroxidase	PMID:27375649
MtrunA17Chr2g0292211	MtPrx12	peroxidase	PMID:27375649
MtrunA17Chr2g0292241	MtRip7|MtPrx11|MtPRX3	peroxidase	PMID:27375649|PMID:19571306
MtrunA17Chr2g0292251	MtPrx20	peroxidase	PMID:27375649
MtrunA17Chr2g0292261	MtPrx15	peroxidase	PMID:27375649
MtrunA17Chr2g0292271	MtPrx26	peroxidase	PMID:27375649
MtrunA17Chr2g0292281	MtPrx[P]106	peroxidase	PMID:27375649
MtrunA17Chr2g0292291	MtPrx35	peroxidase	PMID:27375649
MtrunA17Chr2g0292311	MtTHL16	Thionin-like	PMID:29030416
MtrunA17Chr2g0292391	MtPHB	PHABULOSA  (Homeodomain transcription factor)	PMID:33299183
MtrunA17Chr2g0292411	MtNF-YA6	nuclear factor Y subunit A6	PMID:22939172
MtrunA17Chr2g0292621	MtN19	Mtnodulin 19	PMID:8634476
MtrunA17Chr2g0292651	MtDCL2a	Dicer-like 2	PMID:26825594
MtrunA17Chr2g0292811	MtRC3	Root Cap 3	PMID:29030416
MtrunA17Chr2g0292821	MtRC4	Root Cap 4	PMID:29030416
MtrunA17Chr2g0293411	MtCYP88A55|MtKAO2	Cytochrome P450 monooxygenase|Ent-kaurenoic acidoxidase	PMID:34576120|PMID:30976084
MtrunA17Chr2g0293421	MtCYP88A54|MtKAO1|MtKAO2	Cytochrome P450 monooxygenase|Ent-kaurenoic acidoxidase|ent-kaurenoic acid hydroxylase 	PMID:34576120|PMID:30976084|PMID:25527707
MtrunA17Chr2g0293611	MtTHL31	Thionin-like	PMID:29030416
MtrunA17Chr2g0293651	MtTHL3	Thionin-like	PMID:29030416
MtrunA17Chr2g0293701	MtTHL35	Thionin-like	PMID:29030416
MtrunA17Chr2g0293911	MtMYB092	Myeloblastosis (MYB) transcription factor 92	PMID:31188936
MtrunA17Chr2g0294001	MtTHL6	Thionin-like	PMID:29030416
MtrunA17Chr2g0294281	MtSINE5a  	Sun domain interacting nuclear enveloppe protein 5a (AES64971.1)	PMID:30530738
MtrunA17Chr2g0294361	MtPHYB	phytochrome  B	PMID:34528312
MtrunA17Chr2g0294401	MtTPD8	Tapetum Determinant 	PMID:29030416
MtrunA17Chr2g0294441	MtNAS4	nicotianamide synthase	DOI:10.3389/fpls.2019.01780
MtrunA17Chr2g0294581	MtBG25	"beta-1,3-Glucanase 25"	PMID:30416059
MtrunA17Chr2g0294591	MtBG16	"beta-1,3-Glucanase 16"	PMID:30416059
MtrunA17Chr2g0294601	MtBG15	"beta-1,3-Glucanase 15"	PMID:30416059
MtrunA17Chr2g0294711	MtCAMTA2	Calmodulin-binding transcription activator 2	PMID:26150823
MtrunA17Chr2g0294821	MtMYB038	Myeloblastosis (MYB) transcription factor 38	PMID:31188936
MtrunA17Chr2g0294911	MtRRB6	type-B response regulator	PMID:31088345
MtrunA17Chr2g0295001	MtPR10-1	Pathogenesis-related protein 10-1 (Y08641.1 GENBANK)	PMID:9574507
MtrunA17Chr2g0295021	MtPR10-2	"Pathogenesis-related protein 10 (TC76513, TC131880)"	PMID:15305612
MtrunA17Chr2g0295051	MtPR10-3	Pathogenesis-related protein 10 (TC76511)	PMID:15305612
MtrunA17Chr2g0295064	MtPR10-6	"Pathogenesis-related protein 10 (defense response-activated, TC94217)"	PMID:30026291
MtrunA17Chr2g0295141	MtPR10-4	Pathogenesis-related protein 10 (TC122461)	PMID:21726379
MtrunA17Chr2g0295161	MtLP16	LEED..PEED family	PMID:29030416
MtrunA17Chr2g0295171	MtLP20	LEED..PEED family	PMID:29030416
MtrunA17Chr2g0295181	MtLP21	LEED..PEED family	PMID:29030416
MtrunA17Chr2g0295231	MtNCR574	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0295371	AtPR-1-like|MtCAPE12	pathogenesis-related protein 1 (SA-inducible in Mt)|CAP-derived peptide 12	PMID:31025899|PMID:29030416
MtrunA17Chr2g0295411	MtPLD14	phospholipase D14	PMID:35095980
MtrunA17Chr2g0295631	MtMATE51	multidrug and toxic compound extrusion family	PMID:28052433
MtrunA17Chr2g0295681	MtSWEET16	sucrose transporter	PMID:27021190|PMID:31568488
MtrunA17Chr2g0295701	MtLAT52/POE_13	Late Anther Tomato52/Pollen Ole e 1 Allergen and Extensin	PMID:29030416
MtrunA17Chr2g0295791	MtFIE.5	FERTILIZATION-INDEPENDENT ENDOSPERM (Polycomb group PcG protein)	PMID:34299158
MtrunA17Chr2g0295871	Mtc27	house keeping gene	PMID:32003030
MtrunA17Chr2g0296031		flowering-promoting factor-like protein	PMID:33631796
MtrunA17Chr2g0296321	MtNF-YB18	nuclear factor Y subunit B18	PMID:22939172
MtrunA17Chr2g0296381	MtCUL1	CULLIN-like1	PMID:31981419
MtrunA17Chr2g0296421	DRD1-like1	DEFECTIVE IN RNA-DIRECTED DNA METHYLATION 1-like 1	
MtrunA17Chr2g0296431	MtDREPP	DEVELOPMENTALLY REGULATED PLASMA MEMBRANE POLYPEPTIDE	PMID:32102845
MtrunA17Chr2g0296621	MtPrx100	peroxidase	PMID:27375649
MtrunA17Chr2g0296651	MtCYP81E57	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr2g0296661	MtCYP81E9	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr2g0296791	MtSDG18	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr2g0296961	MtNCR764	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0296971	MtNCR541	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0297191	MtSDG19	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr2g0297271	MtECL3	Egg Cell1-Like	PMID:29030416
MtrunA17Chr2g0297881	MtMTP3	Metal Tolerance Protein 3	DOI:10.3389/fpls.2018.00990
MtrunA17Chr2g0298031	MtAHA5	"(Plasma membrane proton pump, TC121827)"	PMID:26188545
MtrunA17Chr2g0298281	MtPDL25	Plant Defensin	PMID:29030416
MtrunA17Chr2g0298311	MtPDL27	Plant Defensin	PMID:29030416
MtrunA17Chr2g0298321	MtPDL1	Plant Defensin	PMID:29030416
MtrunA17Chr2g0298331	MtPDL24	Plant Defensin	PMID:29030416
MtrunA17Chr2g0298341	MtPDL4	Plant Defensin	PMID:29030416
MtrunA17Chr2g0298361	MtPDL9	Plant Defensin	PMID:29030416
MtrunA17Chr2g0298441	MtPDL11	Plant Defensin	PMID:29030416
MtrunA17Chr2g0298451	MtPDL12	Plant Defensin	PMID:29030416
MtrunA17Chr2g0298491	MtPDL14	Plant Defensin	PMID:29030416
MtrunA17Chr2g0298651	MtRasGAP	GTPase-Activating Protein	PMID:22683509
MtrunA17Chr2g0298791	MtNCR762	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0299161	MtBGAL3	beta-galactosidase 3	PMID:34451684
MtrunA17Chr2g0299271	MtMSI1.1	MULTICOPY SUPRESSOR OF IRA	PMID:34299158
MtrunA17Chr2g0299291	MtNodGRP3A	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr2g0299354	MtCKX9	cytokinin oxydase 9	PMID:33190018
MtrunA17Chr2g0299371	MtCKX3	cytokinin oxidase 3	PMID:25804975
MtrunA17Chr2g0299651	MtEPFL3	Epidermal Patterning Factor-Like	PMID:29030416
MtrunA17Chr2g0299691	MtPrx27	peroxidase	PMID:27375649
MtrunA17Chr2g0299711	MtRALF15	Rapid Alkalinization Factor	PMID:29030416
MtrunA17Chr2g0300261	MtNF-YA3	nuclear factor Y subunit A3	PMID:22939172
MtrunA17Chr2g0300271	MtNodGRP10	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr2g0300381	MtNCR254	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0300391		"early flowering protein, EFL4"	PMID:33631796
MtrunA17Chr2g0300461	MtNCR543	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0300511	MtGRF2	growth-regulating factor 2 (TC183494)	PMID:23566016
MtrunA17Chr2g0300621	MtHAG7	Histone acetyltransferase of the GNAT family	PMID:35161303
MtrunA17Chr2g0300731	MtTHL17	Thionin-like	PMID:29030416
MtrunA17Chr2g0300741	MtTHL18	Thionin-like	PMID:29030416
MtrunA17Chr2g0300901	MtNodGRP11	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr2g0300911	MtNodGRP2A	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr2g0300921	MtNodGRP2B	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr2g0300931	MtNodGRP2C	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr2g0301001	MtBGAL4	beta-galactosidase 4	PMID:34451684
MtrunA17Chr2g0301211	MtPDL16	Plant Defensin	PMID:29030416
MtrunA17Chr2g0301391	MtTHL25	Thionin-like	PMID:29030416
MtrunA17Chr2g0301401	MtTHL14	Thionin-like	PMID:29030416
MtrunA17Chr2g0301431	MtPCY2|MtSC5	Plantacyanin/Chemocyanin|stellacyanin 5	PMID:29030416|PMID:30649463
MtrunA17Chr2g0301451	MtPCY43|MtUC2	Plantacyanin/Chemocyanin|uclacyanin 2	PMID:29030416|PMID:30649463
MtrunA17Chr2g0301491	MtNodGRP12	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr2g0301511	MtRbohI	RESPIRATORY BURST OXIDASE HOMOLOG I	PMID:27375649
MtrunA17Chr2g0301771	MtNCR238	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0301951	MtNodGRP13	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr2g0301991	MtNodGRP14	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr2g0302141	MtSDG20	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr2g0302354	MtNCR396	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0302354	MtNCR396	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0302531	MtPHO1.6	Phosphate transporter1.1 (export)	PMID:33631809
MtrunA17Chr2g0302791	MtSPL16	SQUAMOSA Promoter Binding Protein-Like	PMID:31277566
MtrunA17Chr2g0302801	MtNCR546	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0302841	MtNCR-new5	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr2g0302861	MtNCR204	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0302891	MtNCR305b	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0302901	MtNCR141	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0302921	MtNCR252	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0303071	MtNCR102	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0303101	MtJMJ17	"Histone demethylase, JmjC domain-containing"	PMID:35161303
MtrunA17Chr2g0303441	MtNCR112	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0303511	ROS3-like	repressor of silencing  3-like	
MtrunA17Chr2g0303701	MtINT2_1|MtINT2.3 	inositol transporter	PMID:32016431|PMID:31568488
MtrunA17Chr2g0303731	MtINT2_2|MtINT2.1 	inositol transporter	PMID:32016431|PMID:31568488
MtrunA17Chr2g0304021	MtNCR549	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0304141	MtnsLTP98	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr2g0304181	MtNCR397	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0304291	MtPRP669_1	Pro-rich Protein Group 669	PMID:29030416
MtrunA17Chr2g0304321	MtPRP669_4	Pro-rich Protein Group 669	PMID:29030416
MtrunA17Chr2g0304341	MtPRP669_5	Pro-rich Protein Group 669	PMID:29030416
MtrunA17Chr2g0304411	MtPRP669_10	Pro-rich Protein Group 669	PMID:29030416
MtrunA17Chr2g0304441	MtPRP669_8	Pro-rich Protein Group 669	PMID:29030416
MtrunA17Chr2g0304461	MtPRP669_22	Pro-rich Protein Group 669	PMID:29030416
MtrunA17Chr2g0304581	MtNCR398	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0304601	MtNCR577	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0304701	MtGLV8|MtRGF12	Golven/ Root Growth Factor|Root Meristem Growth Factor (peptide)	PMID:29030416|PMID:31831172
MtrunA17Chr2g0304731	MtNCR575	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0304801	MtNCR208	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0304841	MtRRB5	type-B response regulator	PMID:31088345
MtrunA17Chr2g0304871	MtCYP82D47	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr2g0304941	MtAHA10	Plasma membrane proton pump 	PMID:26188545
MtrunA17Chr2g0305101	MtKNOX10	KNOX transcription factor	PMID:26351356
MtrunA17Chr2g0305371	MtSDG77	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr2g0305541	MtPhytogb1.3|MtGlb1-3	non-symbiotic hemoglobin (ns-Hb)	PMID:32003030|PMID:32442331
MtrunA17Chr2g0305771	MtCNGC17	cyclic nucleotide-gated channel	PMID:27230377
MtrunA17Chr2g0306331	MtNCR-new6	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr2g0306411	MtNCR550	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0306461	MtPCY30	Plantacyanin/Chemocyanin	PMID:29030416
MtrunA17Chr2g0306641	MtDELLA3	aspartic acid-glutamic acid-leucine-leucine-alanine 3 (GRAS family transcription factor)	PMID:27586842
MtrunA17Chr2g0306721	MtNCR799	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0306741	MtNCR121	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0306801	MtPRMT1	Histone methyltransferase PRMT subfamily	PMID:35161303
MtrunA17Chr2g0306951	MtNCR195	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0306961	MtSDG21	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr2g0307051	MtNCR-new7	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr2g0307291	MtCYP72A68v2	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr2g0307301	MtCYP72A68v1	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr2g0307551	NC2 alpha-5	"NC2 alpha, NF-YC-related"	PMID:22939172
MtrunA17Chr2g0307591	MtNCR177	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0307801	MtNCR205	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0307891	MtNCR399	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0308011	MtCDF13	CYCLING DOF FACTOR	PMID:31608091
MtrunA17Chr2g0308271	MtFULa	FRUITFULL 	PMID:25745430
MtrunA17Chr2g0308321	MtSPL6B	SQUAMOSA Promoter Binding Protein-Like	PMID:31277566
MtrunA17Chr2g0308381	AtCOBRA-like	COBRA-like (cell expansion protein)	
MtrunA17Chr2g0308581	MtNCR173	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0308621	MtNCR277	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0308651	MtCYP714A2|MtCYP714H6	Cytochrome P450 (GA13ox)|Cytochrome P450 monooxygenase	PMID:30976084|PMID:34576120
MtrunA17Chr2g0309241	MtnsLTP5	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr2g0309331	MtSMB	"SOMBRERO (auxin-responsive, Putative transcription factor NAM family)"	PMID:28073951
MtrunA17Chr2g0309451	MtNCR553	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0309591	MtNCR160	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0309661	MtNCR403	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0309911	MtMYB112	Myeloblastosis (MYB) transcription factor 112	PMID:31188936
MtrunA17Chr2g0309971	MtNCR269	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0309981	MtNCR679	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0310004	MtNCR-new8	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr2g0310011	MtFE	FLOWERING LOCUS E	PMID:33841463
MtrunA17Chr2g0310121	MtKS1	Ent-kaurene synthase	PMID:30976084
MtrunA17Chr2g0310141	MtZIP1	Zinc-Iron Permease 1	PMID:28732146
MtrunA17Chr2g0310301	MtMTP9	Metal Tolerance Protein 9	DOI:10.3389/fpls.2018.00990
MtrunA17Chr2g0310354	MtCYP736A129	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr2g0310391	MtCYP736A104	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr2g0310401	MtTPS14	terpene synthase 14	PMID:25075527
MtrunA17Chr2g0310691	MtNCR401	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0310711	MtNCR400	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0310741	MtNF-YC4	nuclear factor Y subunit C4	PMID:22939172
MtrunA17Chr2g0311191	MtCHK5	CHASE-domain containing histidine kinase 5	PMID:27341695
MtrunA17Chr2g0311221	MtMYB015	Myeloblastosis (MYB) transcription factor 15	PMID:31188936
MtrunA17Chr2g0311241	MtPrx82	peroxidase	PMID:27375649
MtrunA17Chr2g0311361	MtEPFL4	Epidermal Patterning Factor-Like	PMID:29030416
MtrunA17Chr2g0311581	MtCycT1-1	Cyclin T type	PMID:33228084
MtrunA17Chr2g0311721	MtKELCH	Kelch repeat protein	PMID:22419822
MtrunA17Chr2g0311901	MtNodGRP3C	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr2g0311911	MtNodGRP3B	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr2g0312321	MtNAC1	NAC domain containing protein 1	PMID:21770944
MtrunA17Chr2g0312661	MtNCR115	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0312871	MtNAS2	nicotianamide synthase	DOI:10.3389/fpls.2019.01780
MtrunA17Chr2g0313051	MtNCR554	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0313081	MtNCR555	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0313111	MtGA2ox1	Gibberellin C20-GA2-oxidase 1 (GA inactivation)	PMID:30976084
MtrunA17Chr2g0313571	MtNCR556	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr2g0313751	MtCYP72A336	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr2g0313761	MtCYP72A66	Cytochrome P450 monooxygenase	PMID:34576120
